country,Month,prod_name,Units Sold
,,,
Afghanistan,1,ti83plus,2
Afghanistan,1,ink,3
Afghanistan,1,pen,8
Afghanistan,1,bin,11
Afghanistan,1,leadpen,11
Afghanistan,1,protractor,4
Afghanistan,1,ruler,2
Afghanistan,2,typingpaper,3
Afghanistan,2,clipboard,8
Afghanistan,2,officechair,10
Afghanistan,2,basiccalculator,5
Afghanistan,2,coloredpencil,6
Afghanistan,3,basiccalculator,5
Afghanistan,3,gridpaper,2
Afghanistan,3,eraser,10
Afghanistan,3,BAIIplus,1
Afghanistan,3,artpaper,6
Afghanistan,3,ti83plus,6
Afghanistan,3,protractor,8
Afghanistan,3,pen,8
Afghanistan,4,leadpen,2
Afghanistan,4,BAIIplus,1
Afghanistan,5,basiccalculator,4
Afghanistan,5,clip,7
Afghanistan,5,crayons,7
Afghanistan,5,coloredpencil,2
Afghanistan,5,gridpaper,1
Afghanistan,5,marker,1
Afghanistan,5,ti84plus,3
Afghanistan,5,leadpen,4
Afghanistan,6,bin,3
Afghanistan,6,ti89,6
Afghanistan,6,gridpaper,18
Afghanistan,6,ruler,14
Afghanistan,6,clipboard,13
Afghanistan,6,eraser,1
Afghanistan,6,ink,3
Afghanistan,7,marker,1
Afghanistan,7,pen,14
Afghanistan,7,clipboard,3
Afghanistan,7,ti83plus,2
Afghanistan,7,BAIIplus,2
Afghanistan,7,ti89,1
Afghanistan,7,basiccalculator,4
Afghanistan,7,leadpen,3
Afghanistan,8,protractor,2
Afghanistan,8,ti84plus,8
Afghanistan,8,pencil,1
Afghanistan,8,leadpen,4
Afghanistan,8,artpaper,3
Afghanistan,9,basiccalculator,8
Afghanistan,9,ti84plus,3
Afghanistan,9,crayons,5
Afghanistan,9,protractor,3
Afghanistan,9,ink,8
Afghanistan,9,pen,4
Afghanistan,9,staples,1
Afghanistan,9,officechair,1
Afghanistan,9,ti84,1
Afghanistan,10,ti84plus,8
Afghanistan,10,clipboard,1
Afghanistan,10,folder,8
Afghanistan,10,typingpaper,5
Afghanistan,10,pen,4
Afghanistan,10,staples,6
Afghanistan,10,basiccalculator,5
Afghanistan,10,ti89,12
Afghanistan,10,coloredpencil,1
Afghanistan,11,marker,4
Afghanistan,11,typingpaper,3
Afghanistan,11,coloredpencil,3
Afghanistan,11,ti84plus,4
Afghanistan,11,crayons,2
Afghanistan,11,leadpen,8
Afghanistan,11,ink,5
Afghanistan,11,pen,7
Afghanistan,12,leadpen,2
Afghanistan,12,folder,1
Afghanistan,12,coloredpencil,1
Afghanistan,12,artpaper,7
Afghanistan,12,ink,3
Algeria,1,protractor,6
Algeria,1,ti89,4
Algeria,1,gridpaper,13
Algeria,1,folder,5
Algeria,1,eraser,8
Algeria,1,staples,12
Algeria,1,officechair,3
Algeria,1,ti84plus,7
Algeria,1,pen,9
Algeria,2,basiccalculator,1
Algeria,2,folder,12
Algeria,2,ti84,2
Algeria,2,crayons,3
Algeria,2,ruler,1
Algeria,2,coloredpencil,2
Algeria,3,marker,4
Algeria,3,ruler,2
Algeria,3,clipboard,5
Algeria,3,officechair,6
Algeria,4,ti89,8
Algeria,4,gridpaper,8
Algeria,4,ti83plus,2
Algeria,4,clipboard,4
Algeria,5,marker,13
Algeria,5,BAIIplus,8
Algeria,5,protractor,5
Algeria,5,artpaper,3
Algeria,5,coloredpencil,6
Algeria,5,basiccalculator,4
Algeria,5,ruler,4
Algeria,5,typingpaper,6
Algeria,6,eraser,7
Algeria,6,crayons,1
Algeria,6,typingpaper,4
Algeria,6,protractor,3
Algeria,6,staples,7
Algeria,6,bin,8
Algeria,6,basiccalculator,7
Algeria,7,basiccalculator,3
Algeria,7,crayons,12
Algeria,7,ti89,4
Algeria,7,artpaper,31
Algeria,7,staples,1
Algeria,7,ti84,7
Algeria,7,clipboard,3
Algeria,8,ti83plus,8
Algeria,8,marker,3
Algeria,8,ti84plus,4
Algeria,9,crayons,2
Algeria,9,pencil,4
Algeria,9,bin,9
Algeria,9,ti84,7
Algeria,10,marker,3
Algeria,10,typingpaper,2
Algeria,10,ti83plus,8
Algeria,10,crayons,6
Algeria,10,bin,2
Algeria,10,leadpen,6
Algeria,11,eraser,2
Algeria,11,artpaper,6
Algeria,11,clipboard,6
Algeria,11,marker,3
Algeria,12,gridpaper,6
Algeria,12,basiccalculator,2
Algeria,12,leadpen,2
Algeria,12,ink,6
Algeria,12,ti84plus,5
Algeria,12,officechair,7
Argentina,1,protractor,4
Argentina,1,staples,9
Argentina,1,folder,2
Argentina,1,BAIIplus,4
Argentina,1,eraser,7
Argentina,1,ti89,10
Argentina,2,eraser,3
Argentina,2,bin,3
Argentina,2,crayons,13
Argentina,2,coloredpencil,1
Argentina,2,marker,5
Argentina,2,protractor,3
Argentina,2,ti84plus,8
Argentina,2,clip,7
Argentina,2,officechair,8
Argentina,3,folder,3
Argentina,3,basiccalculator,4
Argentina,3,marker,4
Argentina,3,artpaper,5
Argentina,3,officechair,4
Argentina,3,gridpaper,1
Argentina,3,bin,10
Argentina,4,gridpaper,7
Argentina,4,ti84plus,4
Argentina,4,pencil,9
Argentina,4,eraser,2
Argentina,5,BAIIplus,2
Argentina,5,ti84,2
Argentina,5,clipboard,8
Argentina,5,leadpen,2
Argentina,5,folder,6
Argentina,5,ti84plus,4
Argentina,5,protractor,5
Argentina,6,eraser,12
Argentina,6,clip,4
Argentina,6,crayons,4
Argentina,6,officechair,3
Argentina,7,bin,1
Argentina,7,ti83plus,6
Argentina,7,ruler,7
Argentina,7,staples,2
Argentina,7,coloredpencil,8
Argentina,7,ti84plus,5
Argentina,8,pen,1
Argentina,8,bin,8
Argentina,8,gridpaper,4
Argentina,8,folder,9
Argentina,8,ink,5
Argentina,8,ti89,7
Argentina,8,artpaper,6
Argentina,8,BAIIplus,8
Argentina,9,protractor,2
Argentina,9,ruler,7
Argentina,9,ti84plus,1
Argentina,9,clipboard,3
Argentina,10,officechair,2
Argentina,10,eraser,12
Argentina,11,basiccalculator,8
Argentina,11,clip,6
Argentina,11,gridpaper,4
Argentina,11,bin,5
Argentina,11,ti83plus,6
Argentina,11,ti84,7
Argentina,12,leadpen,7
Argentina,12,ti84,7
Argentina,12,basiccalculator,1
Argentina,12,ti89,7
Argentina,12,ti84plus,6
Bangladesh,1,marker,6
Bangladesh,1,folder,4
Bangladesh,1,eraser,3
Bangladesh,1,protractor,11
Bangladesh,1,coloredpencil,6
Bangladesh,1,clip,8
Bangladesh,2,folder,1
Bangladesh,2,leadpen,2
Bangladesh,2,clip,7
Bangladesh,2,pen,8
Bangladesh,2,ti84,11
Bangladesh,2,ruler,5
Bangladesh,2,marker,7
Bangladesh,2,eraser,2
Bangladesh,3,bin,7
Bangladesh,3,ti84plus,6
Bangladesh,3,marker,9
Bangladesh,3,staples,5
Bangladesh,4,ruler,3
Bangladesh,4,ti84plus,3
Bangladesh,4,bin,9
Bangladesh,4,marker,1
Bangladesh,4,eraser,6
Bangladesh,4,ti83plus,6
Bangladesh,4,crayons,3
Bangladesh,4,officechair,5
Bangladesh,5,eraser,12
Bangladesh,5,coloredpencil,3
Bangladesh,5,ti84plus,6
Bangladesh,5,protractor,4
Bangladesh,5,officechair,2
Bangladesh,5,ti84,7
Bangladesh,5,clip,8
Bangladesh,5,folder,8
Bangladesh,6,staples,6
Bangladesh,6,ti84,7
Bangladesh,6,pencil,6
Bangladesh,6,typingpaper,4
Bangladesh,6,folder,4
Bangladesh,6,BAIIplus,8
Bangladesh,7,crayons,8
Bangladesh,7,ti84,8
Bangladesh,7,marker,1
Bangladesh,8,gridpaper,1
Bangladesh,8,ti89,4
Bangladesh,8,folder,8
Bangladesh,8,ti84,7
Bangladesh,8,clip,2
Bangladesh,9,typingpaper,7
Bangladesh,9,basiccalculator,8
Bangladesh,9,coloredpencil,7
Bangladesh,9,eraser,7
Bangladesh,9,ti89,2
Bangladesh,9,leadpen,4
Bangladesh,9,pencil,7
Bangladesh,9,ti84,9
Bangladesh,9,pen,7
Bangladesh,10,leadpen,7
Bangladesh,10,officechair,6
Bangladesh,10,ink,4
Bangladesh,10,staples,7
Bangladesh,10,BAIIplus,13
Bangladesh,10,marker,8
Bangladesh,10,pen,6
Bangladesh,11,pen,7
Bangladesh,11,artpaper,4
Bangladesh,12,ti83plus,1
Bangladesh,12,BAIIplus,4
Bangladesh,12,ruler,5
Bangladesh,12,eraser,1
Bangladesh,12,ti89,5
Bangladesh,12,typingpaper,11
Bolivia,1,eraser,8
Bolivia,1,ruler,6
Bolivia,1,BAIIplus,3
Bolivia,1,ti84plus,6
Bolivia,1,ti84,2
Bolivia,1,clipboard,3
Bolivia,2,pencil,14
Bolivia,2,bin,3
Bolivia,2,eraser,1
Bolivia,2,coloredpencil,8
Bolivia,2,BAIIplus,8
Bolivia,3,leadpen,3
Bolivia,3,ti83plus,2
Bolivia,3,clip,2
Bolivia,3,pencil,3
Bolivia,4,marker,7
Bolivia,4,ti89,2
Bolivia,4,bin,7
Bolivia,4,ruler,6
Bolivia,4,crayons,2
Bolivia,4,basiccalculator,6
Bolivia,4,ti83plus,4
Bolivia,4,coloredpencil,4
Bolivia,5,pen,9
Bolivia,5,clip,6
Bolivia,5,ti84plus,5
Bolivia,5,artpaper,4
Bolivia,5,ti84,5
Bolivia,5,basiccalculator,1
Bolivia,5,staples,2
Bolivia,5,coloredpencil,8
Bolivia,5,officechair,5
Bolivia,5,ruler,2
Bolivia,6,artpaper,4
Bolivia,6,clip,7
Bolivia,7,ink,11
Bolivia,7,clipboard,6
Bolivia,7,leadpen,8
Bolivia,8,ink,4
Bolivia,8,eraser,7
Bolivia,8,clip,8
Bolivia,8,marker,3
Bolivia,8,leadpen,4
Bolivia,9,ti84,7
Bolivia,9,eraser,1
Bolivia,9,marker,8
Bolivia,9,bin,6
Bolivia,9,officechair,8
Bolivia,9,staples,8
Bolivia,10,gridpaper,5
Bolivia,10,clip,2
Bolivia,11,typingpaper,1
Bolivia,11,ruler,5
Bolivia,11,ti84,6
Bolivia,11,pencil,6
Bolivia,11,ti89,5
Bolivia,12,ruler,1
Bolivia,12,leadpen,7
Bolivia,12,ti83plus,4
Bolivia,12,ink,4
Bolivia,12,ti89,3
Bolivia,12,coloredpencil,7
Bolivia,12,officechair,4
Bolivia,12,pen,2
Bolivia,12,eraser,1
Brazil,1,ti89,7
Brazil,1,protractor,5
Brazil,1,typingpaper,3
Brazil,1,staples,2
Brazil,1,pencil,6
Brazil,1,eraser,5
Brazil,1,ink,5
Brazil,1,crayons,14
Brazil,1,ti83plus,3
Brazil,1,officechair,8
Brazil,1,ruler,7
Brazil,1,marker,7
Brazil,1,clipboard,13
Brazil,1,folder,4
Brazil,2,basiccalculator,8
Brazil,2,pen,7
Brazil,2,ti89,6
Brazil,2,staples,9
Brazil,2,ti84plus,10
Brazil,2,crayons,4
Brazil,2,leadpen,4
Brazil,2,BAIIplus,6
Brazil,2,ti84,9
Brazil,2,typingpaper,4
Brazil,2,bin,7
Brazil,3,clip,10
Brazil,3,pen,4
Brazil,3,ruler,17
Brazil,3,staples,7
Brazil,3,ink,14
Brazil,3,ti89,8
Brazil,3,eraser,12
Brazil,3,ti83plus,12
Brazil,3,typingpaper,8
Brazil,3,pencil,8
Brazil,3,clipboard,7
Brazil,3,artpaper,2
Brazil,3,protractor,9
Brazil,3,crayons,22
Brazil,3,ti84,9
Brazil,3,ti84plus,15
Brazil,3,folder,5
Brazil,4,ti84,7
Brazil,4,staples,11
Brazil,4,pencil,4
Brazil,4,ti83plus,9
Brazil,4,ti89,6
Brazil,4,bin,2
Brazil,4,coloredpencil,11
Brazil,4,marker,2
Brazil,4,crayons,9
Brazil,4,folder,4
Brazil,4,gridpaper,10
Brazil,4,eraser,4
Brazil,4,leadpen,1
Brazil,4,clip,18
Brazil,5,gridpaper,7
Brazil,5,BAIIplus,3
Brazil,5,basiccalculator,6
